replicon,mean,stdev,med,q1,q3,n,file
pCol1b9 -cib -imm,99.81339176037041,422.8813201424148,64,50,81,84664,TL1-Ec_S4_to_Ecoli_W3110_w_pCol1b9_pWSK29_pOT1_sorted_filterMAPQ10_Depth.zip
E. coli W3110 Chromosome,22.375536229438584,139.87887244578246,15,11,21,4646332,TL1-Ec_S4_to_Ecoli_W3110_w_pCol1b9_pWSK29_pOT1_sorted_filterMAPQ10_Depth.zip
pOT1,21880.62481060606,5704.962018792807,22301.5,18123,26133.5,5280,TL1-Ec_S4_to_Ecoli_W3110_w_pCol1b9_pWSK29_pOT1_sorted_filterMAPQ10_Depth.zip
pWSK29,3063.4682324192236,1068.0995673084535,3202,2674.25,3711,7366,TL1-Ec_S4_to_Ecoli_W3110_w_pCol1b9_pWSK29_pOT1_sorted_filterMAPQ10_Depth.zip
pTfu1,0.6729776694244883,1.6492557385500566,0,0,1,154228,TL2-LIC-6-FM3-F_S4_to_Tfin_FM3-F_sorted_filterMAPQ10_Depth.zip
T. fin. gv. ulcerans LI C6 FM3-F Chromosome,23.679248791815603,26.00246464157591,23,9,34,2936017,TL2-LIC-6-FM3-F_S4_to_Tfin_FM3-F_sorted_filterMAPQ10_Depth.zip
T. dicentrarchi 20-4116-9 Chromosome Fragment 1,11.98274805451919,24.909252810649797,11,7,15,983947,TL3-20-4116-9_S5_to_Tdic_20-4116-9_sorted_filterMAPQ10_Depth.zip
pTd3,91758.16192893402,25124.58334762478,91697.5,78807,106507.75,1970,TL3-20-4116-9_S5_to_Tdic_20-4116-9_sorted_filterMAPQ10_Depth.zip
pTd1,296.345111157572,94.89981475872904,295,242,353,28698,TL3-20-4116-9_S5_to_Tdic_20-4116-9_sorted_filterMAPQ10_Depth.zip
T. dicentrarchi 20-4116-9 Chromosome Fragment 2,9.515768016575834,12.827506693057622,8,5,12,1788145,TL3-20-4116-9_S5_to_Tdic_20-4116-9_sorted_filterMAPQ10_Depth.zip
pTd2,411.2451007838746,166.1122891891448,445,348,517,14288,TL3-20-4116-9_S5_to_Tdic_20-4116-9_sorted_filterMAPQ10_Depth.zip
pTff2,511.5805109133572,210.78228993688302,516,406,651,22587,TL4-20-4106-2_S6_to_Tfin_20-4106-2_sorted_filterMAPQ10_Depth.zip
T. fin. gv. finnmarkense 20-4106-2 Chromosome,33.42791363047073,53.56960376761928,32,23,41,2863232,TL4-20-4106-2_S6_to_Tfin_20-4106-2_sorted_filterMAPQ10_Depth.zip
pTm1,43362.89048714998,10871.568758551373,43029,36114.5,48903,5214,TL5-Tmar_S5_to_Tmar_2.1C_sorted_filterMAPQ10_Depth.zip
T. maritimum 2.1C Chromosome Fragment 1,38.606864493906116,28.189290852414953,45,0,59,682818,TL5-Tmar_S5_to_Tmar_2.1C_sorted_filterMAPQ10_Depth.zip
pTm2,56734.5337628251,15800.082260736983,54607,44962.5,66657.5,4191,TL5-Tmar_S5_to_Tmar_2.1C_sorted_filterMAPQ10_Depth.zip
T. maritimum 2.1C Chromosome Fragment 2,59.97506809101321,33.397378272416596,60,44,76,1882407,TL5-Tmar_S5_to_Tmar_2.1C_sorted_filterMAPQ10_Depth.zip
T. maritimum 2.1C Chromosome Fragment 3,51.61343090665222,28.534963398308722,52,39,65,1559716,TL5-Tmar_S5_to_Tmar_2.1C_sorted_filterMAPQ10_Depth.zip
pTff1,6.011821396116045,3.6448714624124574,6,3,8,130949,TL6-17-2596-1_S7_to_Tfin_17-2576-1_sorted_filterMAPQ10_Depth.zip
pTff4,4835.6226034308775,1139.0930515108735,4845,4367,5512,2973,TL6-17-2596-1_S7_to_Tfin_17-2576-1_sorted_filterMAPQ10_Depth.zip
pTff3,200.57630949215635,64.92032527411531,201,163,241,15044,TL6-17-2596-1_S7_to_Tfin_17-2576-1_sorted_filterMAPQ10_Depth.zip
T. fin. gv. finnmarkense 17-2576-1 Chromosome,18.791112935411522,7.6267260503153125,18,14,23,2833354,TL6-17-2596-1_S7_to_Tfin_17-2576-1_sorted_filterMAPQ10_Depth.zip
